question;relation
where did rick besoyan die?;http://dbpedia.org/ontology/deathPlace
which american football player was born in pittsburgh?;http://dbpedia.org/ontology/birthPlace
What's a song written by marvin gaye?;http://dbpedia.org/ontology/writer
what kind of artist is mizz nina;http://dbpedia.org/ontology/genre
Who is a notable figure that was born in budapest;http://dbpedia.org/ontology/birthPlace
what is the name of a blues-rock artist;http://dbpedia.org/ontology/genre
which album belongs to the genre of indie pop;http://dbpedia.org/ontology/genre
what kind of music is lynn carey saylor known for?;http://dbpedia.org/ontology/genre
what country does franco amoroso claim nationality;http://dbpedia.org/ontology/birthPlace
what maltese actor was born in qormi;http://dbpedia.org/ontology/birthPlace
what location is in the north american central time zone?;http://dbpedia.org/ontology/timeZone
what kind of music does robert deleo make;http://dbpedia.org/ontology/genre
what is an album under the metalcore genre;http://dbpedia.org/ontology/genre
What's a tourist attraction found in kyoto;http://dbpedia.org/ontology/location
Who wrote the film the sentimental engine slayer?;http://dbpedia.org/ontology/writer
Where was ilinka mitreva born;http://dbpedia.org/ontology/birthPlace
where did edme mentelle's death occur;http://dbpedia.org/ontology/deathPlace
Which genre of music is made by mutant press;http://dbpedia.org/ontology/genre
What genre of music is exhibited by the album where death is most alive;http://dbpedia.org/ontology/genre
Who composed be my yoko ono?;http://dbpedia.org/ontology/writer
which prominent european artists play classical music?;http://dbpedia.org/ontology/genre
Which genre of music is the album triumph & tragedy;http://dbpedia.org/ontology/genre
what is the genre of the artist of mad professor?;http://dbpedia.org/ontology/genre
which experimental rock was founded in 1991;http://dbpedia.org/ontology/genre
what is the cvg genre of amped: freestyle snowboarding;http://dbpedia.org/ontology/genre
What's an artist that would be labeled post-grunge;http://dbpedia.org/ontology/genre
Name a dam in bundaberg, queensland;http://dbpedia.org/ontology/location
who composed 4st 7lb;http://dbpedia.org/ontology/writer
Name someone who was born in merton (historic parish);http://dbpedia.org/ontology/birthPlace
who sings the blues;http://dbpedia.org/ontology/genre
what kind of genre is the nervous return;http://dbpedia.org/ontology/genre
what city was cliff solway given birth in;http://dbpedia.org/ontology/birthPlace
Who wrote dil chahta hai;http://dbpedia.org/ontology/writer
What is an example of a alternative metal genre album?;http://dbpedia.org/ontology/genre
What is a bridge on the arkansas river?;http://dbpedia.org/ontology/location
Where is craig borten from;http://dbpedia.org/ontology/birthPlace
what location is the birthplace of malin crepin;http://dbpedia.org/ontology/birthPlace
What kind of film is the suite life movie?;http://dbpedia.org/ontology/genre
What genre is music by simon patterson?;http://dbpedia.org/ontology/genre
Who is a notable figure that was born in the city of oakland;http://dbpedia.org/ontology/birthPlace
what is an example of a tactical shooter game;http://dbpedia.org/ontology/genre
what is elisabetta canalis' place of birth?;http://dbpedia.org/ontology/birthPlace
what kind of music does demolition hammer make?;http://dbpedia.org/ontology/genre
who was born in pittsburgh;http://dbpedia.org/ontology/birthPlace
What genre did Jan Axel Blomberg perform?;http://dbpedia.org/ontology/genre
which known professional football player was born in  dublin;http://dbpedia.org/ontology/birthPlace
who was born in glasgow?;http://dbpedia.org/ontology/birthPlace
Where was nazir latif born?;http://dbpedia.org/ontology/birthPlace
which county is william wyatt bibb from?;http://dbpedia.org/ontology/birthPlace
what's the name of a teen actress born in sydney;http://dbpedia.org/ontology/birthPlace
who is a disco artist;http://dbpedia.org/ontology/genre
who was the writer of  lighthouse;http://dbpedia.org/ontology/writer
Who is an artist that would be considered a roots rock artist;http://dbpedia.org/ontology/genre
where did joe yingling pass away;http://dbpedia.org/ontology/deathPlace
what city was john pittenger born in?;http://dbpedia.org/ontology/birthPlace
what type of music does white lion make?;http://dbpedia.org/ontology/genre
Which country was vincent r. capodanno in when he died;http://dbpedia.org/ontology/deathPlace
what genre is live in poland associated with;http://dbpedia.org/ontology/genre
where is united states marine hospital of louisville located in;http://dbpedia.org/ontology/location
Name a rock album.;http://dbpedia.org/ontology/genre
what type of music does derek pellicci perform;http://dbpedia.org/ontology/genre
what island is found in the greenwich mean time zone;http://dbpedia.org/ontology/timeZone
What's a song written by kurt cobain;http://dbpedia.org/ontology/writer
which game is produced by adventure;http://dbpedia.org/ontology/genre
where was ernst dircksen born;http://dbpedia.org/ontology/birthPlace
What kind of album is wombling songs;http://dbpedia.org/ontology/genre
Where in LA did adrian adolph greenberg die;http://dbpedia.org/ontology/deathPlace
which artist performs the heavy metal genre;http://dbpedia.org/ontology/genre
What time zone is magnolia township included in;http://dbpedia.org/ontology/timeZone
what was the name of the place that henry thomas cadbury-brown died;http://dbpedia.org/ontology/deathPlace
Name a location in the central european time zone;http://dbpedia.org/ontology/timeZone
What is a composition done by composer roger meddows taylor;http://dbpedia.org/ontology/writer
what is a tourist attraction in warsaw;http://dbpedia.org/ontology/location
Name a rock music album;http://dbpedia.org/ontology/genre
Who is an artist in the heavy metal genre?;http://dbpedia.org/ontology/genre
what music does the pop group create;http://dbpedia.org/ontology/genre
which artist makes thrash metal music?;http://dbpedia.org/ontology/genre
what kind of music is on the album titas - 84 94 um;http://dbpedia.org/ontology/genre
what kind of music does  deniece williams make;http://dbpedia.org/ontology/genre
Where did yelizaveta tarakhovskaya die?;http://dbpedia.org/ontology/deathPlace
What sort of music was recorded for the album nikola & fattiglapparna;http://dbpedia.org/ontology/genre
What type of music genre is Big John Bates?;http://dbpedia.org/ontology/genre
Name a person born in rome.;http://dbpedia.org/ontology/birthPlace
who was the lyricist for the song all night long;http://dbpedia.org/ontology/writer
which actor was born in chicago?;http://dbpedia.org/ontology/birthPlace
Name an album from the hard rock genre;http://dbpedia.org/ontology/genre
what lyrics did joan armatrading write;http://dbpedia.org/ontology/writer
what genre of pop is the album getting away with it... live;http://dbpedia.org/ontology/genre
What is the place of birth of mickey moore;http://dbpedia.org/ontology/birthPlace
What is the time zone of leon?;http://dbpedia.org/ontology/timeZone
Where was samuel l. kountz born?;http://dbpedia.org/ontology/birthPlace
what is the time zone of destin, florida;http://dbpedia.org/ontology/timeZone
where did tommy grant spend his last day alive;http://dbpedia.org/ontology/deathPlace
What genre of music is alkaline trio/hot water music split cd?;http://dbpedia.org/ontology/genre
where in utah did margaret young taylor die?;http://dbpedia.org/ontology/deathPlace
where was kanako momota originally from;http://dbpedia.org/ontology/birthPlace
What is the birth place of leandro dos santos de jesus?;http://dbpedia.org/ontology/birthPlace
which niche genre of music does girugamesh play;http://dbpedia.org/ontology/genre
what nationality is vladimir gostyukhin;http://dbpedia.org/ontology/birthPlace
where in new york was sigourney weaver born;http://dbpedia.org/ontology/birthPlace
What county is lake wingra in;http://dbpedia.org/ontology/location
what albums plays rock music by Howard Jones;http://dbpedia.org/ontology/genre
which artist perform in the punk rock genre;http://dbpedia.org/ontology/genre
what type of music is carlos villalobos;http://dbpedia.org/ontology/genre
Who wrote the story for the left-handed woman;http://dbpedia.org/ontology/writer
what type of music let us prey?;http://dbpedia.org/ontology/genre
what's there to see in columbus;http://dbpedia.org/ontology/location
Which actor was born in beaverton?;http://dbpedia.org/ontology/birthPlace
what are country albums by George Jones;http://dbpedia.org/ontology/genre
what's a family film title;http://dbpedia.org/ontology/genre
where did arthur k. shapiro pass away;http://dbpedia.org/ontology/deathPlace
dan briggs performs what style of music;http://dbpedia.org/ontology/genre
what album is jazz fusion?;http://dbpedia.org/ontology/genre
Where did pedro nel ospina vazquez die;http://dbpedia.org/ontology/deathPlace
what type of music does major lance play;http://dbpedia.org/ontology/genre
which city did deodoro da fonseca die;http://dbpedia.org/ontology/deathPlace
Where did bert johnson die?;http://dbpedia.org/ontology/birthPlace
Who is a notable person who was born in los angeles;http://dbpedia.org/ontology/birthPlace
what is don pacifico's nationality?;http://dbpedia.org/ontology/birthPlace
who is a rock and roll artist;http://dbpedia.org/ontology/genre
Where was joe yule born;http://dbpedia.org/ontology/birthPlace
Who was born in manchester;http://dbpedia.org/ontology/birthPlace
who was born in dusseldorf;http://dbpedia.org/ontology/birthPlace
What city did werner endell die in?;http://dbpedia.org/ontology/deathPlace
what type of music can be found on the album waylon;http://dbpedia.org/ontology/genre
Which album represents post-punk music?;http://dbpedia.org/ontology/genre
where in kentucky was dale l. romans born;http://dbpedia.org/ontology/birthPlace
Where was henry hill born?;http://dbpedia.org/ontology/birthPlace
Who plays groove metal;http://dbpedia.org/ontology/genre
Who was born in vanadzor?;http://dbpedia.org/ontology/birthPlace
where did daniel adam z veleslavina die;http://dbpedia.org/ontology/deathPlace
what type of music does brian jones play?;http://dbpedia.org/ontology/genre
which genre does the title two and a half men belong to;http://dbpedia.org/ontology/genre
What style of tv program is m.a.n.t.i.s.?;http://dbpedia.org/ontology/genre
where was shane lee yaw born;http://dbpedia.org/ontology/birthPlace
What city does kval-tv broadcast to;http://dbpedia.org/ontology/location
what cities are within the north american central time zone;http://dbpedia.org/ontology/timeZone
What drama was broadcast on ABC?;http://dbpedia.org/ontology/genre
What type of music was created by tony kishman;http://dbpedia.org/ontology/genre
what producer was born in sialkot;http://dbpedia.org/ontology/birthPlace
Who's a businessman born in the jimei district;http://dbpedia.org/ontology/birthPlace
what is a tv comedy version of the cartoon Scooby-Doo;http://dbpedia.org/ontology/genre
Where did harry catterick die?;http://dbpedia.org/ontology/deathPlace
What's a song written by nick drake;http://dbpedia.org/ontology/writer
Name a composition by andrew william harvey taylor;http://dbpedia.org/ontology/writer
which genre of hip hop does j. rawls fall under;http://dbpedia.org/ontology/genre
Which music format does bellini belong to?;http://dbpedia.org/ontology/genre
Where did gary geiger pass away;http://dbpedia.org/ontology/deathPlace
Name a person born in kapurthala;http://dbpedia.org/ontology/birthPlace
what is a profanation album;http://dbpedia.org/ontology/genre
what songs has jacques brel written lyrics to?;http://dbpedia.org/ontology/writer
where in france did  renee carl die;http://dbpedia.org/ontology/deathPlace
Name a person born in baxter;http://dbpedia.org/ontology/birthPlace
what types of music is played in jimmarcus;http://dbpedia.org/ontology/genre
where was beniamina kaintikuaba born;http://dbpedia.org/ontology/birthPlace
What is the title of a pop music album?;http://dbpedia.org/ontology/genre
what type of game is elevator action;http://dbpedia.org/ontology/genre
where did abdul hafeez die;http://dbpedia.org/ontology/deathPlace
What's a tv episode written by bob mosher;http://dbpedia.org/ontology/writer
what genre is the computer videogame overdrive;http://dbpedia.org/ontology/genre
Who is an artist of alternative rock?;http://dbpedia.org/ontology/genre
where was marie-jacques perrier deceased?;http://dbpedia.org/ontology/deathPlace
What genre is live around the world;http://dbpedia.org/ontology/genre
where was  gareth grant born;http://dbpedia.org/ontology/birthPlace
name a person born in south korea?;http://dbpedia.org/ontology/birthPlace
what type of music does minus the machine play;http://dbpedia.org/ontology/genre
which country is nushrat bharucha from;http://dbpedia.org/ontology/birthPlace
Where was nikole lowe born;http://dbpedia.org/ontology/birthPlace
what city did tom patterson die in;http://dbpedia.org/ontology/deathPlace
Where was lenka dusilova born;http://dbpedia.org/ontology/birthPlace
where did george w. p. hunt die;http://dbpedia.org/ontology/deathPlace
what is the name of a adult contemporary music musician;http://dbpedia.org/ontology/genre
what nintendo ds fighting game was released in 2011;http://dbpedia.org/ontology/genre
where was billy sheehan born;http://dbpedia.org/ontology/birthPlace
Where was TV presenter, michael miles's place of death?;http://dbpedia.org/ontology/deathPlace
what american artist was birthed in san francisco;http://dbpedia.org/ontology/birthPlace
what is the name of a trance music artist;http://dbpedia.org/ontology/genre
what was the place of birth of la tenorio;http://dbpedia.org/ontology/birthPlace
What's an example of a strategy video game;http://dbpedia.org/ontology/genre
Name one of many blues album;http://dbpedia.org/ontology/genre
what tv episode did david e. kelley write?;http://dbpedia.org/ontology/writer
what sort of music is blue gene affiliated with;http://dbpedia.org/ontology/genre
where did arthur forbes gordon kilby die;http://dbpedia.org/ontology/deathPlace
what's an album that has rock music on it;http://dbpedia.org/ontology/genre
what album is acoustic music?;http://dbpedia.org/ontology/genre
which town did jeremiah clemens die;http://dbpedia.org/ontology/deathPlace
what country is dhana taprogge from?;http://dbpedia.org/ontology/birthPlace
what is ekrem jevric's country of nationality?;http://dbpedia.org/ontology/birthPlace
What is the name of a trance music artist;http://dbpedia.org/ontology/genre
whats the title of a rock music album;http://dbpedia.org/ontology/genre
What type of music is bruce watson known for creating;http://dbpedia.org/ontology/genre
is sielun veljet alternative rock or classical;http://dbpedia.org/ontology/genre
Name a tourist attraction in bologna;http://dbpedia.org/ontology/location
In what time zone does golden isles of georgia fall?;http://dbpedia.org/ontology/timeZone
where was the origin of raul seixas?;http://dbpedia.org/ontology/birthPlace
what is the name of an action Australian tv show;http://dbpedia.org/ontology/genre
what artist is dance music;http://dbpedia.org/ontology/genre
what kind of music can be found on the album !viva! los straitjackets;http://dbpedia.org/ontology/genre
What type of music do some girls play;http://dbpedia.org/ontology/genre
which album plays  melodic death metal music;http://dbpedia.org/ontology/genre
What's an example of a adventure game;http://dbpedia.org/ontology/genre
what time zone encompasses finger;http://dbpedia.org/ontology/timeZone
what kind of music does lower than atlantis make;http://dbpedia.org/ontology/genre
What is a pop music album?;http://dbpedia.org/ontology/genre
what is the genre of the artist poly styrene;http://dbpedia.org/ontology/genre
Name a location in the mountain time zone;http://dbpedia.org/ontology/timeZone
What type of music is the album global drum project;http://dbpedia.org/ontology/genre
What type of musical style does beverley mitchell play?;http://dbpedia.org/ontology/genre
which city did herb hall pass away;http://dbpedia.org/ontology/deathPlace
which genre of music is dance music?;http://dbpedia.org/ontology/genre
what kind of game is surf's up?;http://dbpedia.org/ontology/genre
who was born in the location of mexico city?;http://dbpedia.org/ontology/birthPlace
where was henri lopes given birth to;http://dbpedia.org/ontology/birthPlace
Who is a known person from england;http://dbpedia.org/ontology/birthPlace
What country is vitoria airport located?;http://dbpedia.org/ontology/location
where was harry trott given birth;http://dbpedia.org/ontology/birthPlace
What the name of an indie rock album?;http://dbpedia.org/ontology/genre
What kind of music does ron geesin make?;http://dbpedia.org/ontology/genre
remixes belongs to what genre of music>;http://dbpedia.org/ontology/genre
what type of music does dayal thakur perform;http://dbpedia.org/ontology/genre
in which city did burhanuddin harahap die;http://dbpedia.org/ontology/deathPlace
which european city was james bridges born in?;http://dbpedia.org/ontology/birthPlace
what artist performs indie rock?;http://dbpedia.org/ontology/genre
max martin worked on what composition?;http://dbpedia.org/ontology/writer
which country is suzie wilks from;http://dbpedia.org/ontology/birthPlace
where was carol duboc given birth;http://dbpedia.org/ontology/birthPlace
what style of music does red dragon play in?;http://dbpedia.org/ontology/genre
what songs have jeff porcaro composed?;http://dbpedia.org/ontology/writer
where in germany was emil rameau's place of death?;http://dbpedia.org/ontology/deathPlace
what is fausto pocar's place of birth;http://dbpedia.org/ontology/birthPlace
Where did al carmines die;http://dbpedia.org/ontology/deathPlace
what type of music is on the album winterwunderland;http://dbpedia.org/ontology/genre
Name someone who was born in adelaide.;http://dbpedia.org/ontology/birthPlace
Name a action-adventure game;http://dbpedia.org/ontology/genre
is max dombrowka from germany or france;http://dbpedia.org/ontology/birthPlace
where in the world did jesse owens take his last breath;http://dbpedia.org/ontology/deathPlace
where did edward pinnington die?;http://dbpedia.org/ontology/deathPlace
Which musical genre is j mascis + the fog in?;http://dbpedia.org/ontology/genre
is deuces country or folk music;http://dbpedia.org/ontology/genre
Who is the American missionary born in pennsylvania?;http://dbpedia.org/ontology/birthPlace
what music does channel 3 do?;http://dbpedia.org/ontology/genre
where in ohio is jordan aboudou from;http://dbpedia.org/ontology/birthPlace
which genre of music does dave clarke (techno dj) belong to?;http://dbpedia.org/ontology/genre
where was mike gentile born?;http://dbpedia.org/ontology/birthPlace
what is the time zone of sand lake?;http://dbpedia.org/ontology/timeZone
what county is washington pass a part;http://dbpedia.org/ontology/location
what genre is get some in;http://dbpedia.org/ontology/genre
What genre of game is battalion wars 2?;http://dbpedia.org/ontology/genre
Where was richard cantillon born;http://dbpedia.org/ontology/birthPlace
what is the name of an indie rock band from england;http://dbpedia.org/ontology/genre
Which male actor was born in maidstone?;http://dbpedia.org/ontology/birthPlace
where in germany was rudi ball born in?;http://dbpedia.org/ontology/birthPlace
ruffin drew fletcher house is located in what city?;http://dbpedia.org/ontology/location
where was rudolf wetzer born;http://dbpedia.org/ontology/birthPlace
Who is an artist of contemporary worship music?;http://dbpedia.org/ontology/genre
which composition was made by the composer taboo;http://dbpedia.org/ontology/writer
what is a well known location in nelsonville;http://dbpedia.org/ontology/location
which female photographer was born in bethlehem, pennsylvania;http://dbpedia.org/ontology/birthPlace
what is a traditional heavy metal album;http://dbpedia.org/ontology/genre
what tv episode has garrett lerner written;http://dbpedia.org/ontology/writer
What music genre does the album live fall under?;http://dbpedia.org/ontology/genre
what music does kiln house play;http://dbpedia.org/ontology/genre
Where was joel peralta born?;http://dbpedia.org/ontology/birthPlace
Who is a notable person that was born in pakistan;http://dbpedia.org/ontology/birthPlace
What is the only trip hop studio album by Frou Frou?;http://dbpedia.org/ontology/genre
who used vocal music;http://dbpedia.org/ontology/genre
What kind of music is in;http://dbpedia.org/ontology/genre
where is the eglin air force base located?;http://dbpedia.org/ontology/location
what kind of punk music is banned in d.c.: bad brains greatest riffs;http://dbpedia.org/ontology/genre
what is the fourth album by the alternative rock metal band Mushroomhead;http://dbpedia.org/ontology/genre
what kind of music is the greenhornes known for;http://dbpedia.org/ontology/genre
what is the time zone for rosendale;http://dbpedia.org/ontology/timeZone
what east coast city and state was jonahan romero born;http://dbpedia.org/ontology/birthPlace
what kinds of music is played by nhbjoy fgcschool;http://dbpedia.org/ontology/genre
Where was xuan xuan born?;http://dbpedia.org/ontology/birthPlace
What style of music is the album street corner talking?;http://dbpedia.org/ontology/genre
Where was shimazu hisamitsu born;http://dbpedia.org/ontology/birthPlace
Name someone born in anacortes, washington;http://dbpedia.org/ontology/birthPlace
What time zone is Rochester in?;http://dbpedia.org/ontology/timeZone
what is an alternative rock album?;http://dbpedia.org/ontology/genre
where was suzuka morita born;http://dbpedia.org/ontology/birthPlace
Who is a scottish football player born in glasgow;http://dbpedia.org/ontology/birthPlace
what type of tv show is sin senos no hay paraiso?;http://dbpedia.org/ontology/genre
what kinds of music is breaking things;http://dbpedia.org/ontology/genre
Where was the place of birth of stephanie sheh;http://dbpedia.org/ontology/birthPlace
Which blues-rock album was released in Oct 1989;http://dbpedia.org/ontology/genre
what pop female artists made the song whoops now/whatll i do;http://dbpedia.org/ontology/writer
what kind of music does bun b make;http://dbpedia.org/ontology/genre
Which French city was hercules brabazon brabazon born in;http://dbpedia.org/ontology/birthPlace
What genre is king of the hill;http://dbpedia.org/ontology/genre
Where was ruben soria born;http://dbpedia.org/ontology/birthPlace
what kind of music is this is the sea;http://dbpedia.org/ontology/genre
What genre is koda kumi live tour 2006-2007 second session?;http://dbpedia.org/ontology/genre
Whose music is an example of pop music?;http://dbpedia.org/ontology/genre
what kinds of music is played by laibach (band);http://dbpedia.org/ontology/genre
what is a country music album?;http://dbpedia.org/ontology/genre
what songs have jim steinman written lyrics for?;http://dbpedia.org/ontology/writer
which agricultural chemist was born in albany?;http://dbpedia.org/ontology/birthPlace
What's an example of an art rock album;http://dbpedia.org/ontology/genre
What is the name of an album of punk rock music?;http://dbpedia.org/ontology/genre
who was born in opelousas?;http://dbpedia.org/ontology/birthPlace
what artist makes celtic rock?;http://dbpedia.org/ontology/genre
what type of music is featured in sonicflood;http://dbpedia.org/ontology/genre
where was michael o'leary born;http://dbpedia.org/ontology/birthPlace
what person was born in the united states?;http://dbpedia.org/ontology/birthPlace
whats a song written by bob marley;http://dbpedia.org/ontology/writer
in which timezone is the location richfield;http://dbpedia.org/ontology/timeZone
what city is located in north american central time zone;http://dbpedia.org/ontology/timeZone
what asian city did kiichi aichi die in;http://dbpedia.org/ontology/deathPlace
which country is sofia rotaru from;http://dbpedia.org/ontology/birthPlace
who was born in cambridge, massachusetts;http://dbpedia.org/ontology/birthPlace
What genre of tv show is frank tv?;http://dbpedia.org/ontology/genre
who wrote come monday;http://dbpedia.org/ontology/writer
which race car driver was born in the state of pennsylvania;http://dbpedia.org/ontology/birthPlace
what is the nationality of amy sene;http://dbpedia.org/ontology/birthPlace
What music genre does the album who you are fall under?;http://dbpedia.org/ontology/genre
what is the genre of the artist evgeny margulis;http://dbpedia.org/ontology/genre
what person was born in freiburg?;http://dbpedia.org/ontology/birthPlace
Name a tourist attraction in vienna.;http://dbpedia.org/ontology/location
What kind of music is dancemania 9;http://dbpedia.org/ontology/genre
Simon-Napoleon Parent died in what Canadian city?;http://dbpedia.org/ontology/deathPlace
where was walter mcnicoll born?;http://dbpedia.org/ontology/birthPlace
What is the name of a strategy video game?;http://dbpedia.org/ontology/genre
what city and state is rodgers forge in;http://dbpedia.org/ontology/location
what is the genre of the album let's get gone, real gone for a change;http://dbpedia.org/ontology/genre
what genre of music does essex chanel fall under;http://dbpedia.org/ontology/genre
where did frank arkell die;http://dbpedia.org/ontology/deathPlace
What genre is dirt (album);http://dbpedia.org/ontology/genre
which actress was born in saint petersburg?;http://dbpedia.org/ontology/birthPlace
whats an example of a comedy tv program;http://dbpedia.org/ontology/genre
Name a woman born in essen;http://dbpedia.org/ontology/birthPlace
what kinds of music is jagged little pill;http://dbpedia.org/ontology/genre
Which genre is the album datapanik in the year zero associated with;http://dbpedia.org/ontology/genre
where was milos urban born;http://dbpedia.org/ontology/birthPlace
what album is from the pop music genre pop music?;http://dbpedia.org/ontology/genre
Who penned when you wish upon a star?;http://dbpedia.org/ontology/writer
in what Scottish county was joe filippi born;http://dbpedia.org/ontology/birthPlace
Who was born in El Paso?;http://dbpedia.org/ontology/birthPlace
who wrote mirza ghalib;http://dbpedia.org/ontology/writer
where did robert badham pass away;http://dbpedia.org/ontology/deathPlace
which franklin was born in new york city;http://dbpedia.org/ontology/birthPlace
which actor was born in oakland;http://dbpedia.org/ontology/birthPlace
where in the united states was lucia mcculloch born at?;http://dbpedia.org/ontology/birthPlace
what was john oconnell's place of death;http://dbpedia.org/ontology/deathPlace
what city and state did  john mccarthy die;http://dbpedia.org/ontology/deathPlace
Which time zone does breckenridge belong to?;http://dbpedia.org/ontology/timeZone
Where was neal c. wilson born?;http://dbpedia.org/ontology/birthPlace
Where in pennsylvania did jock ferguson die;http://dbpedia.org/ontology/deathPlace
what kind of music is on sheila e.?;http://dbpedia.org/ontology/genre
What genre of artist is ben harper?;http://dbpedia.org/ontology/genre
which pop punk albums were produced by stretch arm strong?;http://dbpedia.org/ontology/genre
what is the name of a funk album;http://dbpedia.org/ontology/genre
What's an example of a platform game;http://dbpedia.org/ontology/genre
what nationality is navni parihar;http://dbpedia.org/ontology/birthPlace
Who's an actor born in staten island;http://dbpedia.org/ontology/birthPlace
what category of music does the parallel universe fall under;http://dbpedia.org/ontology/genre
who was born in macclesfield;http://dbpedia.org/ontology/birthPlace
what is a 1966 jazz album;http://dbpedia.org/ontology/genre
Who was born in the Chinese province of henan?;http://dbpedia.org/ontology/birthPlace
stefan zweig is a film story contributor on this.;http://dbpedia.org/ontology/writer
Where was Tony Sucipto born?;http://dbpedia.org/ontology/birthPlace
what is the genre of the album hier und jetzt?;http://dbpedia.org/ontology/genre
what location's time is governed by the central european time zone;http://dbpedia.org/ontology/timeZone
Who would be an alternative rock artist?;http://dbpedia.org/ontology/genre
who is a known person born in  little rock, arkansas;http://dbpedia.org/ontology/birthPlace
where did peter cotes die;http://dbpedia.org/ontology/deathPlace
where was georges hue born?;http://dbpedia.org/ontology/birthPlace
who was born in buenos aires?;http://dbpedia.org/ontology/birthPlace
who was a person born in buenos aires;http://dbpedia.org/ontology/birthPlace
what kind of game is fez?;http://dbpedia.org/ontology/genre
Name a rhythm and blues album released by Emina Jahovic?;http://dbpedia.org/ontology/genre
Where is fort stockton-pecos county airport contained;http://dbpedia.org/ontology/location
what genre of music is vivavivahate in?;http://dbpedia.org/ontology/genre
What kind of music does artist benny benjamin make?;http://dbpedia.org/ontology/genre
What genre is the album apollo;http://dbpedia.org/ontology/genre
What city did dimitrios mpogris die in?;http://dbpedia.org/ontology/deathPlace
Who was born in ypres?;http://dbpedia.org/ontology/birthPlace
Name a composition from the composer Roy Wood.;http://dbpedia.org/ontology/writer
What are some of peter cetera works?;http://dbpedia.org/ontology/writer
where was the place that prince karl franz of prussia die;http://dbpedia.org/ontology/deathPlace
what kinds of music is in your honor;http://dbpedia.org/ontology/genre
What country is harry winston from;http://dbpedia.org/ontology/birthPlace
where was syed arif hussain born;http://dbpedia.org/ontology/birthPlace
Who is a christian music artist;http://dbpedia.org/ontology/genre
Who is a pop music artist;http://dbpedia.org/ontology/genre
what state did gabriel long die in;http://dbpedia.org/ontology/deathPlace
who was born in oriente province;http://dbpedia.org/ontology/birthPlace
who was the composer of a murder of one;http://dbpedia.org/ontology/writer
which time zones is majs located in?;http://dbpedia.org/ontology/timeZone
which continent was melissa hauschildt born in;http://dbpedia.org/ontology/birthPlace
Name an artist from the hardcore punk genre;http://dbpedia.org/ontology/genre
what music genre is he touched me;http://dbpedia.org/ontology/genre
what kind of rock music is on the album glitter in the gutter;http://dbpedia.org/ontology/genre
what is the armstrong time zone?;http://dbpedia.org/ontology/timeZone
What film did j. michael straczynski write?;http://dbpedia.org/ontology/writer
what game is a platform game?;http://dbpedia.org/ontology/genre
What type of game is domino master;http://dbpedia.org/ontology/genre
whats the name of a bluegrass artist;http://dbpedia.org/ontology/genre
which fad genre of music was on madeline;http://dbpedia.org/ontology/genre
what are some hip hop music albums;http://dbpedia.org/ontology/genre
where in japan was tsunamasa shidei born in?;http://dbpedia.org/ontology/birthPlace
What type of album is out of the darkness: retrospective 1994-1999?;http://dbpedia.org/ontology/genre
What type of music does parliament-funkadelic perform;http://dbpedia.org/ontology/genre
what is peggy wood's place of birth?;http://dbpedia.org/ontology/birthPlace
which painter was born in basel;http://dbpedia.org/ontology/birthPlace
Who wrote the story used in the film resurrection;http://dbpedia.org/ontology/writer
who is a rhythm and blues artist?;http://dbpedia.org/ontology/genre
is roll over and play live a hard rock album or an electronica album;http://dbpedia.org/ontology/genre
which style of music is the album des fleurs pour un cameleon in?;http://dbpedia.org/ontology/genre
Name a person born in Toronto.;http://dbpedia.org/ontology/birthPlace
who was the composer of the song apologize;http://dbpedia.org/ontology/writer
Who was born in southfield?;http://dbpedia.org/ontology/birthPlace
what kind of music is on all the pretty boys?;http://dbpedia.org/ontology/genre
what is sonja skarstedt's place of birth?;http://dbpedia.org/ontology/birthPlace
Who is someone born in birmingham;http://dbpedia.org/ontology/birthPlace
Where is the birth place of michael lopez-alegria?;http://dbpedia.org/ontology/birthPlace
what genre is major/minor;http://dbpedia.org/ontology/genre
what is the name of a celebrity born in st asaph;http://dbpedia.org/ontology/birthPlace
which album is in the genre alternative rock;http://dbpedia.org/ontology/genre
Where did hughie thomasson die;http://dbpedia.org/ontology/deathPlace
which time zone does sprott fall in;http://dbpedia.org/ontology/timeZone
what country holds jacek dembinski's nationality;http://dbpedia.org/ontology/birthPlace
Where was elena ralph born?;http://dbpedia.org/ontology/birthPlace
where did william d. leahy die;http://dbpedia.org/ontology/deathPlace
what musician released ghazal;http://dbpedia.org/ontology/genre
Who is from atlanta;http://dbpedia.org/ontology/birthPlace
where was richard bausch born;http://dbpedia.org/ontology/birthPlace
who composed self control (song);http://dbpedia.org/ontology/writer
who is a trance music singer;http://dbpedia.org/ontology/genre
Who is a lawer born in kaunas;http://dbpedia.org/ontology/birthPlace
what park is located in lakeville, connecticut;http://dbpedia.org/ontology/location
what genre does danger mouse perform;http://dbpedia.org/ontology/genre
who are alternative rock artists;http://dbpedia.org/ontology/genre
which time zone is gum springs, arkansas in;http://dbpedia.org/ontology/timeZone
what type of music does ryukyu underground make;http://dbpedia.org/ontology/genre
Where was angelo dolci born;http://dbpedia.org/ontology/birthPlace
What type of movie is the film harvest of fire;http://dbpedia.org/ontology/genre
what is ed palmquist's place of death?;http://dbpedia.org/ontology/deathPlace
what is an album that is progressive rock;http://dbpedia.org/ontology/genre
